Date,Price,Open,High,Low,Vol.,Change %
05-12-2014,"17,958.79","17,903.05","17,991.19","17,903.05",79.11M,0.33%
04-12-2014,"17,900.10","17,910.02","17,937.96","17,814.81",76.27M,-0.07%
03-12-2014,"17,912.62","17,880.90","17,924.15","17,855.59",99.40M,0.18%
02-12-2014,"17,879.55","17,778.85","17,897.05","17,778.85",81.97M,0.58%
01-12-2014,"17,776.80","17,827.27","17,827.27","17,726.55",86.39M,-0.29%
28-11-2014,"17,828.24","17,830.55","17,893.42","17,807.78",80.47M,0.00%
26-11-2014,"17,827.75","17,812.25","17,833.76","17,791.16",67.45M,0.07%
25-11-2014,"17,814.94","17,819.05","17,854.73","17,790.89",88.19M,-0.02%
24-11-2014,"17,817.90","17,812.63","17,855.27","17,793.19",85.51M,0.04%
21-11-2014,"17,810.06","17,721.02","17,894.83","17,721.02",140.94M,0.51%
20-11-2014,"17,719.00","17,677.32","17,720.44","17,603.89",77.74M,0.19%
19-11-2014,"17,685.73","17,685.51","17,712.26","17,624.50",73.78M,-0.01%
18-11-2014,"17,687.82","17,643.09","17,735.71","17,642.03",87.42M,0.23%
17-11-2014,"17,647.75","17,631.85","17,675.07","17,606.81",70.33M,0.07%
14-11-2014,"17,634.74","17,653.11","17,664.15","17,613.20",72.85M,-0.10%
13-11-2014,"17,652.79","17,618.69","17,705.48","17,583.88",80.54M,0.23%
12-11-2014,"17,612.20","17,604.75","17,626.71","17,536.17",75.98M,-0.02%
11-11-2014,"17,614.90","17,615.64","17,638.21","17,584.94",52.88M,0.01%
10-11-2014,"17,613.74","17,568.98","17,621.87","17,547.51",71.43M,0.23%
07-11-2014,"17,573.93","17,558.58","17,575.33","17,493.37",82.86M,0.11%
06-11-2014,"17,554.47","17,491.66","17,560.31","17,440.35",70.67M,0.40%
05-11-2014,"17,484.53","17,385.76","17,486.59","17,385.76",76.03M,0.58%
04-11-2014,"17,383.84","17,368.81","17,397.23","17,278.36",81.39M,0.10%
03-11-2014,"17,366.24","17,390.90","17,410.65","17,339.85",80.03M,-0.14%
31-10-2014,"17,390.52","17,208.78","17,395.54","17,208.78",121.61M,1.13%
30-10-2014,"17,195.42","16,968.14","17,223.96","16,920.76",80.18M,1.30%
29-10-2014,"16,974.31","17,005.07","17,065.50","16,895.38",76.45M,-0.18%
28-10-2014,"17,005.75","16,825.19","17,006.45","16,825.19",83.87M,1.12%
27-10-2014,"16,817.94","16,796.10","16,836.98","16,729.83",72.58M,0.07%
24-10-2014,"16,805.41","16,677.04","16,811.71","16,649.72",90.40M,0.76%
23-10-2014,"16,677.90","16,468.07","16,767.52","16,468.07",99.42M,1.32%
22-10-2014,"16,461.32","16,615.26","16,653.89","16,459.85",92.05M,-0.92%
21-10-2014,"16,614.81","16,406.03","16,620.78","16,405.77",105.11M,1.31%
20-10-2014,"16,399.67","16,373.15","16,401.63","16,260.54",94.32M,0.12%
17-10-2014,"16,380.41","16,118.39","16,427.38","16,118.39",137.91M,1.63%
16-10-2014,"16,117.24","16,137.14","16,211.12","15,935.22",131.67M,-0.15%
15-10-2014,"16,141.74","16,313.30","16,313.30","15,855.12",160.38M,-1.06%
14-10-2014,"16,315.19","16,321.90","16,463.67","16,273.64",110.41M,-0.04%
13-10-2014,"16,321.07","16,535.43","16,602.41","16,310.47",107.83M,-1.35%
10-10-2014,"16,544.10","16,654.88","16,757.60","16,543.91",136.37M,-0.69%
09-10-2014,"16,659.25","16,989.37","16,989.37","16,649.04",93.21M,-1.97%
08-10-2014,"16,994.22","16,718.65","17,006.91","16,663.26",106.93M,1.64%
07-10-2014,"16,719.39","16,988.25","16,988.25","16,715.79",79.42M,-1.60%
06-10-2014,"16,991.91","17,010.34","17,099.39","16,930.38",65.54M,-0.10%
03-10-2014,"17,009.69","16,802.20","17,027.84","16,802.20",87.94M,1.24%
02-10-2014,"16,801.05","16,808.27","16,857.25","16,674.04",75.49M,-0.02%
01-10-2014,"16,804.71","17,040.46","17,041.16","16,776.13",104.24M,-1.40%
30-09-2014,"17,042.90","17,070.45","17,145.10","17,017.11",102.29M,-0.17%
29-09-2014,"17,071.22","17,107.69","17,107.69","16,934.43",70.22M,-0.25%
26-09-2014,"17,113.15","16,948.62","17,148.15","16,948.11",74.67M,0.99%
25-09-2014,"16,945.80","17,204.86","17,204.86","16,945.80",93.52M,-1.54%
24-09-2014,"17,210.06","17,056.64","17,226.60","17,033.93",80.53M,0.90%
23-09-2014,"17,055.87","17,165.91","17,171.88","17,055.87",77.09M,-0.68%
22-09-2014,"17,172.68","17,271.71","17,277.88","17,159.36",74.30M,-0.62%
19-09-2014,"17,279.74","17,267.21","17,350.64","17,257.46",349.62M,0.08%
18-09-2014,"17,265.99","17,163.73","17,275.37","17,163.73",85.30M,0.64%
17-09-2014,"17,156.85","17,131.01","17,221.11","17,089.01",87.81M,0.15%
16-09-2014,"17,131.97","17,027.16","17,167.05","16,985.55",73.20M,0.59%
15-09-2014,"17,031.14","16,988.76","17,051.85","16,951.38",71.74M,0.26%
12-09-2014,"16,987.51","17,044.05","17,044.05","16,937.67",82.82M,-0.36%
11-09-2014,"17,049.00","17,057.41","17,057.41","16,983.88",63.65M,-0.12%
10-09-2014,"17,068.71","17,016.05","17,080.27","16,974.57",76.78M,0.32%
